timestamp,datapath_id,flow_id,ip_src,ip_dst,ip_proto,src_port,dst_port,packet_count,byte_count,duration_sec,duration_nsec,byte_rate,packet_rate,label
1764246454.5996847,1,"(1, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,253,382536,2,592000000,135876.18572141786,89.86520219670494,voip
1764246454.5996847,1,"(1, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,244,368928,2,580000000,132101.84722915626,87.3689465801298,voip
1764246454.5996847,1,"(1, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,8,12096,0,586000000,0.0,0.0,voip
1764246454.5996847,1,"(1, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,70,105840,0,577000000,0.0,0.0,background
1764246454.5996847,1,"(1, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,5,2950,2,513000000,589.1163255117324,0.9985022466300548,control_traffic
1764246454.5996847,1,"(1, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,5,2950,2,504000000,589.1163255117324,0.9985022466300548,control_traffic
1764246454.5996847,1,"(1, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,1,590,0,495000000,0.0,0.0,control_traffic
1764246456.5841763,20,"(20, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,442,668304,4,571000000,144396.0,95.5,voip
1764246456.5841763,20,"(20, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,432,653184,4,564000000,144396.0,95.5,voip
1764246456.5841763,20,"(20, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,3,222,3,554000000,74.0,1.0,web
1764246456.5841763,20,"(20, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,170,257040,2,567000000,123166.41679160418,81.45927036481758,voip
1764246456.5841763,20,"(20, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,1586,2398032,2,559000000,1150812.5937031482,761.11944027986,background
1764246456.5841763,20,"(20, '10.0.0.8', '10.0.0.1', 6, 35972, 80)",10.0.0.8,10.0.0.1,6,35972,80,1,74,1,506000000,0.0,0.0,web
1764246456.5841763,20,"(20, '10.0.0.7', '10.0.0.4', 17, 37599, 5002)",10.0.0.7,10.0.0.4,17,37599,5002,9,13608,0,538000000,0.0,0.0,voip
1764246456.5841763,20,"(20, '10.0.0.6', '10.0.0.1', 17, 40907, 5003)",10.0.0.6,10.0.0.1,17,40907,5003,62,93744,0,538000000,0.0,0.0,background
1764246456.5841763,20,"(20, '10.0.0.2', '10.0.0.5', 6, 80, 36362)",10.0.0.2,10.0.0.5,6,80,36362,1,74,0,484000000,0.0,0.0,web
1764246456.5841763,20,"(20, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,8,4720,4,527000000,589.7051474262868,0.9995002498750623,control_traffic
1764246456.5841763,20,"(20, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,8,4720,4,519000000,589.7051474262868,0.9995002498750623,control_traffic
1764246456.5841763,20,"(20, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,6,3540,2,513000000,1474.2628685657173,2.4987506246876565,control_traffic
1764246456.5841763,20,"(20, '10.0.0.4', '10.0.0.6', 1, 0, 0)",10.0.0.4,10.0.0.6,1,0,0,1,590,1,533000000,0.0,0.0,control_traffic
1764246456.5841763,20,"(20, '10.0.0.1', '10.0.0.6', 1, 0, 0)",10.0.0.1,10.0.0.6,1,0,0,1,590,0,502000000,0.0,0.0,control_traffic
1764246456.5841763,20,"(20, '10.0.0.4', '10.0.0.7', 1, 0, 0)",10.0.0.4,10.0.0.7,1,0,0,3,1770,0,489000000,0.0,0.0,control_traffic
1764246456.5894408,2,"(2, '10.0.0.6', '10.0.0.3', 17, 43931, 5002)",10.0.0.6,10.0.0.3,17,43931,5002,440,665280,4,559000000,145224.61230615308,96.048024012006,voip
1764246456.5894408,2,"(2, '10.0.0.8', '10.0.0.4', 17, 45964, 5002)",10.0.0.8,10.0.0.4,17,45964,5002,430,650160,4,552000000,143711.855927964,95.04752376188095,voip
1764246456.5894408,2,"(2, '10.0.0.6', '10.0.0.4', 17, 55371, 5003)",10.0.0.6,10.0.0.4,17,55371,5003,1577,2384424,2,555000000,1154989.4947473735,763.8819409704852,background
1764246456.5894408,2,"(2, '10.0.0.5', '10.0.0.2', 17, 38576, 5002)",10.0.0.5,10.0.0.2,17,38576,5002,168,254016,2,554000000,124046.02301150575,82.04102051025512,voip
1764246456.5894408,2,"(2, '10.0.0.5', '10.0.0.2', 6, 36362, 80)",10.0.0.5,10.0.0.2,6,36362,80,2,148,2,525000000,74.03701850925464,1.0005002501250626,web
1764246456.5894408,2,"(2, '10.0.0.2', '10.0.0.5', 6, 80, 36362)",10.0.0.2,10.0.0.5,6,80,36362,2,148,1,488000000,0.0,0.0,web
1764246456.5894408,2,"(2, '10.0.0.6', '10.0.0.1', 17, 40907, 5003)",10.0.0.6,10.0.0.1,17,40907,5003,53,80136,0,525000000,0.0,0.0,background
1764246456.5894408,2,"(2, '10.0.0.7', '10.0.0.4', 17, 37599, 5002)",10.0.0.7,10.0.0.4,17,37599,5002,7,10584,0,523000000,0.0,0.0,voip
1764246456.5894408,2,"(2, '10.0.0.3', '10.0.0.6', 1, 0, 0)",10.0.0.3,10.0.0.6,1,0,0,9,5310,4,539000000,590.295147573787,1.0005002501250626,control_traffic
1764246456.5894408,2,"(2, '10.0.0.4', '10.0.0.8', 1, 0, 0)",10.0.0.4,10.0.0.8,1,0,0,9,5310,4,531000000,590.295147573787,1.0005002501250626,control_traffic
1764246456.5894408,2,"(2, '10.0.0.4', '10.0.0.6', 1, 0, 0)",10.0.0.4,10.0.0.6,1,0,0,6,3540,2,533000000,590.295147573787,1.0005002501250626,control_traffic
1764246456.5894408,2,"(2, '10.0.0.2', '10.0.0.5', 1, 0, 0)",10.0.0.2,10.0.0.5,1,0,0,7,4130,2,528000000,1180.5902951475737,2.0010005002501248,control_traffic
1764246456.5894408,2,"(2, '10.0.0.1', '10.0.0.6', 1, 0, 0)",10.0.0.1,10.0.0.6,1,0,0,5,2950,0,510000000,0.0,0.0,control_traffic
